dyu,fr
A ye mule yɛlɛ,Qu’avez-vous ouvert ?
Mufɛn! Fɛn dɔ?,Quoi ? Quelque chose.
ɛhɛn n jigi b'aw kan,Hein ? je compte sur vous.
I tun ba kun kɔrɔtara,Je soulevais votre tête.
A ni ce mese Maritɔn .,Merci monsieur Mariton.
A ye a fɔra.,Voilà qui est dit.
Tiɲɛ tɛ yɔrɔ bɛɛ ra.,Ce n’est pas vrai partout.
A tun t'a famiɲan na tuguni.,Il ne comprenait plus.
A ninsɔn diya nin le.,Elle est contente.
A ka dinɛ ye juman le ye ?,Quelle est votre religion ?
A ni ce madame Frayiz .,"Merci, madame Fraysse."
A bi Rue wolonfilanan na.,Il est dans la septième rue.
A ka anivɛrsɛr le kun.,C’était son anniversaire.
I lara la ka kun kadi i ye a ?,tu es sûr que tu aimais.
Mun lo bi kɛra ?,Qu’est-ce qui se passe ?
I bi Ɛlvir furu !,Tu épouses Elvire!
N bina ta dumuni kɛ sisan.,j'irai manger tout à l'heure.
A yi dumuni kɛ ɲɔgɔn fɛ a ?,Vous avez mangé ensemble ?
Nɛnɛ bina bɔ wuladanin na.,Il fera froid ce soir.
A bi siran o ɲɛn a ?,Vous avez peur d’eux ?
An bi kɛ dɔni.,À tout à l'heure.
N bi dumuni kɛra.,Je suis en train de manger.
I lar'a ra ka kad'o ye a ?,Tu es sûr qu’elles aiment.
"A tɔgɔ, a yi sabari.","Votre nom, s’il vous plait ?"
Ni banan ni ka tcha sissan,Ce jardin est plein d’enfants.
Logô bon den saba,trois maisons en bois.
Ibi moulo fè?,Qu'est-ce que tu veux ?
Ayi konon ni kè ka mè wa?,Vous avez attendu longtemps ?
Aya filè tchogominan,Regardez comme c'est beau !
Bo d'en ta ni nani,quatorze maisons.
araba avril tle wɔɔrɔ l'on,Le mardi six avril.
a dencɛ ye joze ye,Son fils est Josué.
sabari tugu n kɔ,Viens avec moi s’il te plait.
ta a yala,Va me la chercher !…
lɛ nɔnɔ,Du cochon de lait.
nɛnɛ toyi a,Il ne fait pas froid ?
a taatɔ ye ni ye sisan,il vient juste de partir.
a wilila,Elle est debout.
a bɛn na mule kan,Qu’avez-vous décidé ?
lɛtri finman den mugan ni kelen,Vingt et une lettres noires.
I bi n'a taga lɔgɔra a,Tu vas faire les marchés?
sama cɛɲumani den bisaaba ni duuru,Trente-cinq beaux éléphants.
juma le ye wuleman ye,Qu’est-ce qui est rouge ?
I larala k'an ba fɛ wa,Tu es sûr que nous aimions.
kɔgɔ bi n n'a kojugu,J'ai super faim.
I larala ko a ka di n ye a?,tu es sûr que j'aime.
Jɔn lo bi na dɛmɛ,Qui vous portera secours ?
I tun ti see ka kun tuguni,Tu n'y pouvais plus tenir!
An kan Boon finɛtri,La fenêtre de notre maison.
Wulu muso bisaba ni kelen,Trente et une chiennes.
nin n bi mirila n ɲabara ko jo tun ba fɛ,"En y réfléchissant, je me dis qu'elle avait raison."
I y'i hakili yɛlɛma a ?,Tu as changé d’avis?
N kɔrɔ cɛba le,C'est mon frère ainé.
A kun ma a ka kuma mɛ.,Elles ne l’avaient pas écouté.
Kuma deeni tƐ,Ce n’est pas un petit débat.
A ye a bi daminɛ na,Voilà que ça commence.
Kalo saba Nin ka fisa,"Oui, trois mois, c’est mieux."
Bartelɛn sɔkɔ ka yɛlɛ dɔɔni,Vatelin remonte un peu.
I Larala ko a ka di a ye,Tu es sûr qu’on aime.
nbbo jigi n numabolo fɛ,Il descend à droite.
Soso ɲanaman den fla,De deux bons chevaux?
a ka gɛlɛn kojugu,C'est très difficile.
ni kɔrɔ kodi,Qu’est-ce que cela signifie?
n bi lɔndr,J'habite à Londres.
a bi zizrin Nin lon,Vous savez le conte.
Nin tina sekɔ ka kɛ tuguni,Ça n’arrivera plus jamais.
A kɔrɔko di ?,Ça veut dire quoi?
Tarwi ka kɛlɛ.,Combat de Tarwis.
N ti sɔn ni kuma nunu ma.,Je n’accepte pas ces propos.
Aradio nin b'a danna.,La radio est au maximum.
ko an tun ye ɲɔngɔn kanu,"Nous, nous eûmes aimé."
K'i bina mun le ta?,Qu'est-ce que tu prendras ?
Luda pɔrti le,c'est la porte de la maison.
Da kelen ti bɔrikɛ,Une seule porte ne suffit pas.
Den joli le b'aw fɛ?,Combien d'enfants avez-vous ?
A bi tara Kimpe .,Elle va à Quimper.
A y'a ka kariyɛr lalɔ.,Il met fin à sa carrière.
Sɛbɛrikɛ mansi,Une machine à écrire.
Mbi lampan ni fana san,J’achète la lampe également.
A kahni,Delphine C'est bon.
Jɔn ta le ye dɔnkili nin ye?,De qui est la musique ?
A mara ni b'a ladon ka ɲɛn.,Garde-la et prends-en soin.
A yi sabari k'a faa.,Remplissez-le s’il vous plait.
Lon juman le ye furusiri nin ye.,Pour quand est le mariage ?
Piscine bi a fè wa?,Vous avez une piscine ?
Ji fani gobele la wa?,Un verre d’eau ?
An bi min le?,Où sommes-nous ?
Ni bɛ fanga ka bon n ma.,"Ça me dépasse, tout ça."
Bi yi lɔn juman lo ye?,Quel jour on est aujourd’hui ?
A ye hakili to wagati nin n'a.,Rappelez-vous la date.
A ni ce n b'a waleɲumanlɔn.,"Très bien, je vous remercie."
Mɔgɔ mugan ani wolonfila.,vingt sept personnes.
Cɛ nin bina na wuladani na..,L’homme viendra ce soir.
Na an bi bɔ Yan yɔrɔra,"Viens, sortons d’ici."
N be sɔneri kɛra bolo ɲumana fɛ,On sonne à droite.
N be yi sikago,Je suis de Chicago.
Raimɔd tun bo cɛman,Raymond était parmi eux.
O y'an janfa.,Nous sommes trahis!
Sɛnni kelen durɔn sɛbɛnibɛ,Une seule scène est écrite.
A ti se ka jalakini kɛ,Ca ne peut pas nuire…
AAA jaa gwalɛn cɛ,Ah! le courageux garçon !
Biseegi a ni kelen,Quatre-vingt-un.
Il bi dumunikɛ dɔɔni,Tu manges bien peu.
A bi na kɛ ka filɛ,Allez vous faire voir.
Mesie vigɛr teyi,Monsieur Vigier n’est pas là
A nous son kadi,L'aïeul serait content.
Koundimi nana bâ ra,Il souffre de calvitie.
A kagni ka dow a konon,il faudra rentrer dedans.
A nigê bora,C’en est dégoûtant.
New York ka mobili lo,C’est le bus pour New York ?
Ali a musso wa?,Pas même sa femme ?
A Tina bin wa?,Il ne tombera pas ?
N ko kad'a ye kojugu.,Elle m'aime beaucoup.
Tabaligwɛman saba.,trois tables blanches.
A sera lon jumɛ ?,Le combien est-il arrivé ?
O yi ɲɔgɔn sɛbɛra.,Ils s'écrivent l'un à l'autre.
A tun ti lɛmpo sara.,Ils ne payaient pas d'impôts.
Bulalamɔgɔ nunu kɛra laban ye.,les bleus sont les derniers.
A bi barada juman lo ra.,Quel métier fait-il ?
Fɛn dɔ bi a fɛ wa?,Vous avez quleque chose ?
N ti mese Doriya ye.,Je ne suis pas Monsieur Doria.
A bi angilɛkan dege ra.,Il apprend l’anglais ?
A bi na peinture kè,Prenez donc un pot de peinture
Fila bourou tchama,Les plus longues feuilles.
A bi a djalaki ra,Que vous l'accusiez!
A toyi o yorola,Celle-là là-bas.
Hunn Tina a torô tougouni,Je ne vous ennuierai plus.
Alé lo,Celui-là là-bas.
Nka kousine ka kiungolo lo,C’est la fête de ma cousine.
Waka ti magni,A la bonne heure !
Foyi t'a bali.,Rien d'impossible
Nne tɔgɔko fulupɔ,"Moi, je m'appelle Fulup."
mule kaɲi lmka hakili jigi,À quoi bon rappeler ?…
A bi hɛrɛ la ?,Vous êtes confortable ?
N fɛ a tun yi dɔnkili la.,J’ai cru qu’il aurait chanté.
A bi na segi ka na n bi dogo min?,Il va revenir… où me cacher ?
A be ka yɛrɛ bɔ kora,Comme pour se justifier.
A bi juma le fɛ,Que recommandez-vous ?
Kalan fa kaɲ ka kɛ dɔɔnin?,Faut-il moins d’enseignants?
A fɔ cɔgo le ye,C'est une façon de dire !
Ale le bina taga.,C’est elle qui ira.
I donna a ka bonkɔnɔɲɛn na.,Tu es entrée dans sa chambre ?
a beyi komi a sigɛn ni le,Vous avez l’air fatigué.
Mun kama a yi nin kɛ?,Pourquoi avez-vous fait ça ?
foyi muso a y'a jaabi tan,"Rien, madame, répondit-elle."
O kana na.,Qu'il ne vienne pas
ala ka masa jogo,Le Royaume de Dieu.
Bi ye siranya ye.,Aujourd’hui c’est un crin !
"Lɔ, a bi n fɛ.","Attendez, je le tiens."
nunuw o ye kanuya sɔrɔ,"eux, ils ont eu aimé."
a kulera caman,Crie-le donc plus haut.
A tun bi tulon kɛra n'a ye .,ellel jouait avec lui.
Masamuso min ye muso ye.,Une reine qui soit une femme.
Bon gwɛma bisaba ni fila.,trente deux maisons blanches.
Sanji ti nana a,Il ne pleut pas ?
a dɔgɔmuso tɔgɔ ko lila,Sa sœur a pour prénom Lila.
n bi seli caman,Tu te fais trop prier.
muso nin kama le nin kama le,Dame !… parce que… parce que…
n'a n bi nin jaa,"Viens, je vais te sécher."
Fantagnan magni de,Il s’est noyé en mer.
Bonkɔnɔna nin sumanin lo.,La chambre est climatisée ?
I bina joli lo don n na.,Combien vas-tu emprunter?
Bolik ka di n ye.,J’aime courir.
n ka mɔnbili ti bara kɛ,Ma voiture ne fonctionne pas.
A wolontuma na a tɔgɔ tun ko Pɛnsa Segal .,À sa naissance son nom était Pinchas Segal.
fen wɛrɛw,Quelque chose d’autre ?
oh a kaɲi kɔsɔbɛ,Oh ! vous êtes mille fois trop bon !
siɛn kelen walima siɛn fla,Une ou deux fois.
ka filɛ ko bɛ n'a ka kungo lo,"En regard de chacun de ces problèmes, savez-vous que:"
Yɔrɔ nunu bɛ cɛ ɲuman nin.,Les lieux sont embellis.
Aw fɛ ka bɔ an ka kalanfa fɛ.,Vous voulez donc quitter votre maître…
lon bɔra o bi nana filimu daminɛ,"Au lancement de la série, de sont prévus."
a ka teli ka breton kan le fɔ,Vous parlez breton couramment.
Ka sôrô toubabou bara kè la lo,Il est alors le dernier officier de cette spécialité de la marine française.
Algérie djamanan lo,Il compte une sélection en équipe d'Algérie.
Ayi a yan gan fa woulé na,"La figure de Célestine Pageant, brûlée de fièvre, était d'une rougeur intense."
nunuw bɛ ye kelen cɛn tɛ,"Tu t'ennuies, n'est-ce pas ?"
Ma fô a yé wa,Vingt-trois maisons noires.
Armwar nunu kɔnɔ.,Dans les armoires.
Pabnɛz ka sira duru.,cinq chemin des Palnaies
n sekɔra fransi,Retour en France.
A ka mousso bi tara,La calèche était arrivée ; les dames du château partirent.
A bina na ni retard doni yé,"Hollenstein avec un peu de retard, va les rejoindre."
balodron ka layuru bɛ tara kɔnɔna,Toutes les mesures du ballodrome sont prises intérieurement.
Ka bin tigɛ ka jaa o yi kɔrɔman ye ka tɛmɛ sɛnɛ kan.,Le fanage est probablement bien plus ancien que l'agriculture.
Ni lé yi ni yèlè mani kôrô yé,Tel est le sens de cet amendement.
Sira wɔrɔ bi kɔnɔntɔn ani saba kɛmɛ fila ani bikɔnɔntɔn Tranble Fransi .,"Sixième Avenue, quatre-vingt-treize, deux cent quatre-vingt-dix Tremblay-en-France"
Walima nin mɔgɔ wɛrɛ i gɛrɛfɛ tun kaɲi ka nin fɔ do?,Mais si quelqu’un au tien allait dire cela ?…
walima a ti fɛ ka ka bara a keleen sisan o le ye koni ye an kaɲi ka gɛkuluw le yala,"Mais, la volonté ne suffit pas, il faut aussi des structures adaptées."
fɔɲɔ sira nise ra,Rue Poussière à Nicey
A kaɲi I ki mabɔ kojugula,Il importe de ne pas succomber à la tentation d'ignorer.
Sanfɛkongo ka sira biduuru ni kɔnɔntɔn binani ni duru gwansan gwansan ani gwansan ɔrleyan .,"cinquante-neuf rue des Hauts-Champs, quarante-cinq, zéro zéro zéro, Orléans"
An bi nana yɛlɛmani nimero wakele ani binani ani wolonfila.,Nous en venons à l’amendement numéro mille quarante-sept.
A fana bé yi kɔgɔji le ye,Il est aussi présent en mer Méditerranée et en mer Noire.
"A kɔrɔsinibɛ n'a ka lonni, n'a ka fani cɛɲumani don",Elle est remarquée pour ses performances et son look glamour.
Nin yɛlɛmani ni ba yira ko bɛɛ ya cɔrɔ joona joona,L’amendement vise donc à les clarifier rapidement.
kuma ni bi Jil diton le bolo walima ka dɛmɛ kɛ yɛlɛmani nimoro kɛmɛ Ani biduru ani wolonfila.,"La parole est à Monsieur Gilles Lurton, pour soutenir l’amendement numéro cent cinquante-sept."
Kuma nin bi Sitanisilas Gereni bolo ra walima ka dɛmɛ kɛ yɛlɛmani nimero kɛmɛ nani ani bikɔnɔntɔn ani saba.,"La parole est à Monsieur Stanislas Guerini, pour soutenir l’amendement numéro quatre cent quatre-vingt-treize."
koni tun kaɲi ka kɛ yan le,Ce devait être là l'affaire.
Bara sira tama kelé tou ma boyan,un du code du travail n’a pas été respecté.
Kouma ni bi Thierry Benois lo bolo,"La parole est à Monsieur Thierry Benoit, pour soutenir l’amendement numéro huit cent quarante-trois."
Sira wolonfila,sept cent sept rue Pierre Dubreuil
N ye lu miw kalan n lanaya bé yi n dencɛ fɛ,Les ménages que je pus étudier me rendirent fière de Monsieur Mendez.
Dugumani dɔ tun bi yi min tun yi finman ye kom nin dugu nin ta.,Il y avait là-bas des fourmis qui n'étaient pas aussi noires que celles de ce pays-ci.
Gwɛlɛya ka flɛru,Une rose dans la misère
nigɛ tɛmɛni kaɲan kelen ka bɔ tan ni duuru la,"Une heure, moins le quart…"
O fouroula a mèna,Ils sont depuis mariés.
Aba kèra komi a bi dimi,Elle sembla le craindre.
Wolo wɛrɛw bi na tugu,D’autres naissances suivront.
ɔn ɔn a walawala,"Non, de la précision."
Barakɛla ka barakɛ yɔrɔ,Un cabinet d’entrepreneur.
N mini tulokɛ minan nin ɲɔgɔn ye n kaso,J’ai le même jeu à la maison.
A tagara a ka segi yɔrɔla,Il remonte vers son panier.
N ba bɛta n yɛrɛ kan,Je prends tout sur moi…
I makoɲɛ bara wa?,Tu as besoin de lui ?
O yi beeni ko fɔ n ɲanan,On m’a parlé de faillite!
Ne togô yé Marie,Je m'appelle Mary.
I bamuso man djan,Ta mère n’est pas grande.
ɛlvir den cɛjuguni.,Elvire parut laide.
Wulumuso mugan ni kelen.,vingt et une chiennes.
O lɔn nin lo.,Ils sont extrèmement connus.
Ayi a ka ɲi yɛlɛko bi n na.,"Non, merci… j’ai le Rire."
A! Kelen tɛ.,Ah ! c’est différent.
O sɔnni lo n'an ye.,Ils sont d'accord avec nous.
an tun be yi Nin wagati n'a,On était à cette heure-là.
a bi ɲanagɛra,Il est de précision.
Sapɛldeni ani cɛɲumani.,"Une petite chapelle, et jolie."
A yɛrɛ bɛɛ kisira.,Tout son être ressuscita.
a yi ta la,Allez donc vous coucher.
Fɛndeni.,un petit morceau.
"N bi tulon le kɛra, foyi ma fara a kan.","Je fais une blague, sans plus."
Nin ye mufɛn le ye ten ?,Qu’est que c’est que ça ?
a ka kanu ɔhɔn,Votre amant ? Oui.
izidɔr ale ni filomɛn ɔhɔn,Isidore et Philomèle. — Non !
Hun talon,C’est les virer!
a kɔrɔyala otris dugura,Elle grandit en Autriche.
a cɛkaɲi dɛ,C'est vraiment beau.
ka falen Nin ka yɛrɛsɔrɔ ye,En échange de ma liberté.
Yiri môgô ni,Une statue en bois.
Ayi da yèlè wa?,Vous avez ouvert la porte ?
sini ka wagati ni binakɛ cogodi le,Comment sera le temps demain ?
fau ka dugu,La ville du Faou.
fanga bara dɛ,Comme il est fort !
n yɛlɛra sira kɔgɔman kan,J'ai roulé sur sa tortue.
gɛlɛya ba be yi tuguni,Il y a plus pénible encore.
Bissaba ani kelé,trente et un livres noirs.
Nin bi yɛlɛko t'en,Cela est marrant.
Ahou tahou lo,C’est les tiennes.
Aw lanitɛ ara,Vous n’y croyez pas
Ahou be barakè atilo,Vous travaillerez le dimanche
nɛnɛ bé yi,Il ne fait pas froid ?
ni wagati be yi a kaɲ,S’il y a le temps c’est bien.
n bi taga kalan so,Je vais à l’école.
onhon ale lo,"Oui, tout à fait."
a bi dɔ le kɔnɔ n'a,Vous attendez donc quelqu’un ?
a y'a suma fo san fɛ,Il mesure jusqu'à de haut.
an tun ye fatɔ baw le ye,Nous étions de grands fous.
n bi n yɛrɛ yira cogo di,Comment se présenter ?
Abina a yèrèma,Mais il y vient de lui-même.
A koun ya kissi,Il l'avait certainement sauvé.
Ka sɔrɔ o te ɲɔgɔn weele,Mais il ne s’appelle pas…
Haa ne teri gwɛlɛn!,Ah ! ce brave ami !
Demi sin bi aw fè wa?,Vous avez des enfants ?
Nunu yi mun le ye?,C’est quoi ceux-là ?
Sira nin ka jan.,Le chemin est plutôt long.
A fɔn na a ka jago ra.,Il fut un échec commercial.
"Aka wolo lo na ka saya lo,o chi ma lon folo",Ni sa date de naissance ni sa date de décès ne sont formellement connues.
A ye sɛn kelen nan kɛ nan n dusu cɛna an ma see ka nunu ɲinigali nunuw jaabi,"Encore une fois, je suis navrée que vous ne puissiez pas répondre à ces questions."
viki ka sira biwɔɔrɔ Ani wɔɔrɔ gansan Ani saaba kɛmɛ Ani wolonfila baleri ka sira kan,"soixante-six avenue de Vichy, zéro trois, sept cents à Bellerive-sur-Allier"
sira min ma se kaɲɛ min bi jigi joona o le ye ɲihɛni ye,La voie d'élimination quasi exclusive est l'urine.
I maɲi ka,Il ne faudrait pas.
A bi fè ka fo ka kèra ka ban,"Puisque c’est fait, je retire l’amendement."
Môgô nounou bè kagni ka sira sôrô,"De plus, ces équipements devaient être accessibles à tous les citoyens."
Ni yiri ni fana tigè ni lo,"Oui, mais les plantations ont été dévastées."
u tu nanā sigilan kun te u fƐ,Elles étaient venues sans aucune chaise.
A ka silidaga jii b'an fɛ,On lui doit l'eau de Goulard.
Henri naani bi jeninan ka tɔ ka kɛlɛ,Henri quatre brûlait de combattre.
Obi ta râ rectum kôrô,"Très active sur les réseaux, elle est aussi présente sur Instagram, Facebook, Twitter..."
N ma nin di dominic tiancɛ fɛ walema ka yɛlɛmani bolo nimɔrɔ kɛmɛ saaba an ni biwɔrɔ ni kɔnɔtɔn,"La parole est à Monsieur Dominique Tian, pour soutenir l’amendement numéro trois cent soixante-neuf."
Ni KO yi dêmê soro,Ces amendements sont défendus.
Min ma maga mɔgɔra muso,"Le plus ordinairement, Mrs."
Sioliyɛ ani Dogapil la dugu nunu tugu nin lo ɲɔgɔn na ni tirɛn sira lo ye.,La ville est reliée par chemin de fer à Šiauliai et Daugavpils.
Kè gnoyma ya ale ni djona djona,Élégance et rapidité
A toun bi fè ka gna la akan,Il voulut néanmoins faire de sa fille Élisabeth son héritière.
Ni kalan sè bè ni lo kadi ka tèmè a bè kan,Voici une œuvre qui me plait plus qu’aucune autre.
A lora ka mê,Il hésita longuement.
A Sara sra sababou lo râ,Il meurt dans un accident de la route près de Gotha.
Mogô kakan ki yèrè ma djigui,J'y mettais mon fils en pénitence.
Ko min beyi yan fo ka ban,Je l'ai déjà exprimée ici l'an passé.
Iya FO oyé wa,Est-ce que je leur ai dit ?…
An sigi gnongon bina tô laban,Les ordinateurs s'occupent du reste.
N bi na banba ka jaabini sɔrɔ,Je souhaiterais avoir la réponse.
Damien ka sira biduru ni duuru ani kɛmɛ fila tɛntɛn segira,"cinquante-cinq rue d'Amiens, zéro deux, cent à Saint-Quentin"
Sisan a bi kɛdi,"Alors, comment faire?"
o bi sée fana ka dan ni kolo fɛnw ye,Elles peuvent également être produites par des végétaux.
ka to bara la moini kelen ale,"En ferait un moine, lui…"
min tun bi ne jɔɔrɔ o ye tigɛri min kɛra,"Ce qui m’intriguait, c’était cette coupure bien nette à la base."
Nin dugu nin kaɲi ka petrɔli ale ni esansi ta dugu wɛrɛ la.,Le pays doit néanmoins importer du fioul lourd et de l'essence.
Nin yɛlɛmani nin bina na gwɛlɛya fara o b'la cogo ra.,Cet amendement viendrait ajouter une complexité au dispositif.
Iba bamuso ! Fɛn cɛɲumani ye. Iba facɛ a yi tulogɛlɛyaba dɔ le ye.,"Mère Ubu Oh ! voilà du joli, Père Ubu, vous estes un fort grand voyou."
Nin dugu ni tɔgɔ lanino ten a ka cɔgoya kalgɔr de,Le village est nommé ainsi d'après sa position sur la rivière à la truite.
San tan an bi lafiɲɛnna yɛlɛkokow ra.,Puis dix ans nous nous reposions Au sein des drames romantiques.
Ko nogôma lo,Des light novels et jeux vidéo voient également le jour.
Sira tchama lo,"Voici cette lettre : «Monsieur Charpentier, dix-neuf, rue de Lille."
An kagni ka donkè bi,Michel Alexandre est également réalisateur de courts-métrages et de clips.
A toum yé mousso kelé dron lo fourou,Il était le fils unique de Geneviève et de René Deloux.
Alé talo yi famou ya li bali yé,"C'est pour lui, une totale incompréhension."
Fè mi bè kèra a bi yè,Les travaux réalisés pour ce projet seront repris par d’autres.
Ni nousson dia loni,La fête ?… vous l’avez déjà souhaitée hier.
Unm bena escalier kan,Je suis tombé dans les escaliers.
O fila bè yi o da djé,Tous deux se considérèrent en silence.
François le yi sissan ka dougou tigi yé,Le Chef de village actuel est François Ngueyera.
"Ayé yamongo,fen do un toum bi fè ka fô ayé","Voilà, monsieur le député, un fait que je vous signale."
A ka fari kodjouhou,"Douce ! elle a mon caractère, elle est violente."
Jean Donald Landry ka sira,"treize rue Jean Donat Leandri, vingt, cent dix, Propriano"
"Bara bi daminè na,ne ma labè","les affaires reprennent, je ne suis pas trop rouillé."
Yèlè ko kora a kouma na,"Dans les comics, elle est la tante de Sharon Carter."
Kalan fa nounou lo,Les enseignants-chercheurs sont des fonctionnaires jouissant de libertés particulières.
Kèlê ni kèra Stalingrad,Elle fut formée trois fois dans les différentes phases de la bataille de Stalingrad.
O ma karaba fôkô,Je n'ai pas encore été contrainte à manger quelque chose de mes compagnons d'infortune.
Koni gèlèyara,Le poème de Lamprecht nous est parvenu par trois manuscrits.
Minuti djoli lo,Quelque vingt heures dans la malle-poste ne sont pas pour l'arrêter.
Gnongon yé yôrô doron lo,Seule subsiste la chapelle attenante qui ne fut pas touchée.
Anga yamôgô bi kèlè kè lahou tôrô,J’ajoute que le Gouvernement maltraite également les anciens combattants.
Sirabada jyan lozano koɲak,"Rue Juan Lozano, Cognac"
sarl mosɛl ye a ka bara yɔrɔ sans n ga a yɛrɛ y'a ka bara yɔrɔ been,"Amenant sa société en déficit, Charles Michel se trouve obligé de la vendre."
Toni Wud mandimi na maci nin na o y'a ramplase ni Zowe Modi ye.,"Tony Woodcock, blessé lors du match face aux Tonga, est remplacé par Joe Moody."
mɔgɔdɔ be yi bon ɲɛfɛ o ye sɛni ni kupe,La scène est entrecoupée par un groupe de personnes qui s’amusent devant un bâtiment.
"Siraba den fila Pol Meris biwolonfila ni duuru, zero, mugan, Pari .","deux rue Paul Meurice, soixante-quinze, zéro vingt à Paris"
a bi toi ka ribbiki a ni spɔr mekanik le filɛ,"Il aime regarder le rugby, le ski et les sports mécaniques."
sid sigi ni lo sid la,Le territoire de la commune de Cize est situé plus au sud.
Eksiduwar ka Amo min bi Mɔntrɛm .,Hameau d'Excidoire à Montrem
sira caman bé yi o bi se ka ta,Il y a pas mal de circuits à exploiter.
a yi don gandi ka kongrɛ du parti la,Il rejoint le Parti du Congrès de Gandhi.
A toumbi ko ni yayini nan,"Alva Myrdal participe activement à la conception du bâtiment, qui comprend deux niveaux."
Oyi fensôrô,La coalition anglo-néerlandaise a également remporté un certain succès.
Tan ni konon ton sira bâ kelé,"dix-neuf boulevard Gustave Roch, quarante-quatre, zéro zéro zéro à Nantes"
Opozisiyon y'a fɔ k'an ka miliyar tan ni saba bɔ gwaso ra.,L’opposition dit que nous prélevons treize milliards sur les ménages.
Tulu foyi kun ti nin na.,Il n'y avait là nulle apparence de bravade.
Nin kɛra jaa gɛlɛya ye dɛ.,Cela me semble curieux.
A tun bi a fɛ ka kɛ n'a ka densɛ ye wakati damani na.,Voulait-elle profiter un peu de son gamin
biwolonfila bi sɔrɔ sirana madina na.,"soixante-treize rue Madinina, quatre-vingt-dix-sept, deux cents à Fort-de-France"
Mɛ kalo tle seegi ka pilasi karannisɛnki,un place du huit Mai quarante-cinq
Yorô yongon bi yan,Un pareil milieu divertit Bouvard.
A tounkèra ina fô humm,"González semble d'abord décroché, mais parvient à réagir et réussit à stabiliser cet écart."
An bi bara kè low bè,Différents types de drague sont utilisés selon les conditions rencontrées.
Kibarou ni fora dnama yé,"La fatale nouvelle est confirmée, en grande partie en moins."
A kana tôgô tien a magni,Il se réfugie pendant sept mois à Rolle aux limites de son ancien diocèse.
pɔl le tun ye saribɔn bɔn yɔrɔ ka ɲamɔgɔ ye,Paul était surintendant des mines de charbon.
Irene min be Liyɔn binana kuma walisa a bi kumacaamacaama nin dabila.,Irénée de Lyon interviendra pour empêcher cette excommunication massive.
Mɛtri wabiwɔrɔ ni kɛmɛ ni bisaba lo bi Hanri Riyan ni Wavini ka sira cɛ.,"Rue Reant Henri, soixante mille cent trente Wavignies"
A y'a tɔgɔ sɔrɔ Puwo ka tasumaji dara.,On retrouve son nom dans celui de la bouche volcanique Puʻu ʻŌʻō.
Koyɔrɔdeni bi bɛgɛnbaloyɔrɔ nin na.,Il y a une aire de pique-nique dans le parc.
"N'ga a bi kun dimi di n ma, tama ten.","Ben ! oui, mais ça me donne le vertige, à moi, de marcher comme ça !"
A dencɛ Alɛksi Mɔlsanɔv fana bi tari kɛra apne ra.,Son fils Alexey Molchanov est aussi un concurrent de premier plan de l'apnée.
Fla jɛnkulu bi tamana k'o kɔ di Zan Brɛbɛr ma ale ni o bi o ɲɛn sinna Mamɛs ka yɔrɔla.,Les troupes berbères marchent contre Jean Troglita et campent dans la plaine de Mammès.
"A ye sɛbɛ minuw sɛbɛ, o den saba bɛɛ sera anu fɛ.",Trois manuscrits de sa chronique sont arrivés jusqu’à nous.
O yi sɔsɔrili min kɛ nin kɛra sɔsɔrili ɲanaman ye.,La critique en fut particulièrement élogieuse.
A tun mankan k'a yɛrɛ yira Manus .,Sa présence à Manus est une erreur.
"An bi se k'a sɔrɔ fana Alpo , Pirene walima olu fana.","On peut aussi le trouver dans les Alpes, les Pyrénées à partir de environ."
A bi Rozehil dugu ni Foniks dugu ɲɔgɔncɛ.,Elle est située entre les villes de Rose-Hill et de Phoenix.
Fɛn dɔ bi n ten na a bi n wagasira.,"J'ai quelque chose qui me presse le front, une migraine."
ɲanmɔgɔden nin banna kokarde gɛman nin na.,"L'imbécile, ne voulut pas de la cocarde blanche."
Nimero mugan ni kɔnɔntɔn aviyɔndeni nin na.,vingt-neuf impasse de la l'Aviation
O ka ko nin ɲɛtaga ma jaɲan.,La démarche manquait de profondeur.
a fɔlɔ min tun bi ni bolora oluw tun ye jina lɔgɔw ta le ye,"La première, au Nord, était réservée aux religieux."
Mouga ni kononton sira ba,"vingt-neuf C rue des Champs Pacaud, cinquante-huit, zéro zéro zéro à Nevers"
A kèra o dentchè yé,Il s'agit de leur au Foster Farm Bowl.
Aya bolo la ka digi,"Sur l'épaule d'Omer, il appuyait une vieille main pesante."
Village denn chegi bi dougou konon,La commune regroupe huit villages.
Djamanan den ka kan ka noussondia,Un peuple vous doit le bonheur d'être libre.
Dougou déni min bi yan feyi o yorô lo,"Commune située au centre de la Vendée, dans la périphérie de La Roche-sur-Yon."
Ni ziri ni fani bè ni kaba ko yé,C'est une histoire remplie de drame et de secrets de famille.
"Djinkoulou li yi sira min ta,yannanman lo",La position prise par la commission nous semble plus justifiée.
A toumbi pèrin pèrin bè kouna,ils ramassaient tout ce que le coin comptait de psychopathes et de tordus.
Église kelé lo bi benni konon,"L'Union compte une église catholique, l'église Saint-Jean-Baptiste."
Djinkoulou ni ko di,Quel est l’avis de la commission ? La commission n’a pas examiné cet amendement.
Son ni toumbi bô fanfaron a ni brayar,La rue s'encombrait de fanfarons et de braillards.
Metri wa bi na ni lo bi Oni yongon tchè,"Rue Dubrulle, soixante-deux mille huit cent soixante-dix Douriez"
